City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1732826,Mersing,40,MY,1586059984,70,2.43,103.84,306.15,3.1
3985710,Cabo San Lucas,75,MX,1586059801,56,22.89,-109.91,295.37,1
86049,Jalu,6,LY,1586059985,72,29.03,21.55,288.25,5.28
1490256,Talnakh,100,RU,1586059985,92,69.49,88.4,273.15,12
1267390,Kavaratti,20,IN,1586059985,66,10.57,72.64,303.15,1.72
699706,Novooleksiyivka,35,UA,1586059985,67,46.23,34.64,280.29,5.59
5374920,Morro Bay,90,US,1586059915,81,35.37,-120.85,286.48,2.1
3466165,Cidreira,0,BR,1586059986,71,-30.18,-50.21,292.49,2.92
110690,Faya,8,SA,1586059986,76,18.39,42.45,289.15,1.64
142255,Bāfq,4,IR,1586059987,20,31.61,55.41,290.37,3.5
262143,Galatas,90,GR,1586059987,76,37.5,23.45,284.82,4.1
2208248,Kaitangata,89,NZ,1586059987,82,-46.28,169.85,288.15,1.34
2514301,Mahon,0,ES,1586060048,93,39.89,4.27,282.15,2.1
5225535,Narragansett,40,US,1586060048,81,41.45,-71.45,280.37,2.19
3374083,Bathsheba,40,BB,1586060048,83,13.22,-59.52,299.15,5.7
608270,Shubarshi,0,KZ,1586060049,66,48.59,57.19,277.9,4.31
1259411,Ponnāni,40,IN,1586060050,70,10.77,75.93,304.15,2.1
685025,Bereşti-Tazlău,99,RO,1586060050,64,46.47,26.67,276.15,3.6
1822207,Sisophon,1,KH,1586060050,47,13.59,102.97,307.66,1.62
3372707,Ribeira Grande,14,PT,1586060050,76,38.52,-28.7,287.88,4.13
783768,Zvečka,82,RS,1586060051,60,44.64,20.16,280.93,3.6
1235846,Matara,95,LK,1586059950,75,5.95,80.54,301.26,2.41
2140558,Koumac,34,NC,1586060051,66,-20.57,164.28,302.08,6.72
485660,Tsimmerbude,0,RU,1586060051,82,54.67,20.13,275.15,4
2251688,Gandiaye,0,SN,1586060051,47,14.23,-16.27,299.15,5.1
1651591,Amahai,12,ID,1586060052,70,-3.33,128.92,302.23,0.5
371466,Leer,72,SS,1586060053,47,8.3,30.14,299.02,0.8
1489656,Teya,35,RU,1586060053,87,60.38,92.63,273.43,2.62
3471837,Araguaçu,0,BR,1586060054,69,-12.93,-49.83,297.57,1.02
1314759,Lashio,37,MM,1586060054,18,22.93,97.75,302.1,0.45
2170260,Corowa,90,AU,1586060055,67,-36.03,146.38,289.26,6.7
4034551,Faanui,13,PF,1586060055,72,-16.48,-151.75,301.8,2.88
3533462,Acapulco de Juárez,20,MX,1586060055,83,16.86,-99.89,299.15,1.5
7647007,Bariloche,0,AR,1586060056,65,-41.15,-71.31,280.15,5.1
2415702,Siguiri,0,GN,1586060056,16,11.67,-9.5,301.39,0.53
